1-5 years,"Female population, 1-5 years old","Only extreme rainfall affected female population, 1-5 years old","Only extreme heat affected female population, 1-5 years old","Only drought affected female population, 1-5 years old","Only strong hurricanes affected female population, 1-5 years old","Extreme rainfall & heat affected female population, 1-5 years old","Extreme rainfall & drought affected female population, 1-5 years old","Extreme rainfall & hurricanes affected female population, 1-5 years old","Extreme heat & drought affected female population, 1-5 years old","Extreme heat & hurricanes affected female population, 1-5 years old","Drought & strong hurricanes affected female population, 1-5 years old","Extreme rainfall, heat, & drought affected female population, 1-5 years old","Extreme rainfall, heat, & hurricanes affected female population, 1-5 years old","Extreme rainfall, drought, & hurricanes affected female population, 1-5 years old","Extreme heat, drought, & hurricanes affected female population, 1-5 years old","Extreme rainfall, heat, drought, & hurricanes affected female population, 1-5 years old","% Only extreme rainfall affected female population, 1-5 years old","% Only extreme heat affected female population, 1-5 years old","% Only drought affected female population, 1-5 years old","% Only strong hurricanes affected female population, 1-5 years old","% Extreme rainfall & heat affected female population, 1-5 years old","% Extreme rainfall & drought affected female population, 1-5 years old","% Extreme rainfall & hurricanes affected female population, 1-5 years old","% Extreme heat & drought affected female population, 1-5 years old","% Extreme heat & hurricanes affected female population, 1-5 years old","% Drought & strong hurricanes affected female population, 1-5 years old","% Extreme rainfall, heat, & drought affected female population, 1-5 years old","% Extreme rainfall, heat, & hurricanes affected female population, 1-5 years old","% Extreme rainfall, drought, & hurricanes affected female population, 1-5 years old","% Extreme heat, drought, & hurricanes affected female population, 1-5 years old","% Extreme rainfall, heat, drought, & hurricanes affected female population, 1-5 years old","Extreme climate affected female population, 1-5 years old","% Extreme climate affected female population, 1-5 years old","Extreme rainfall affected female population, 1-5 years old","% Extreme rainfall affected female population, 1-5 years old","Extreme heat affected female population, 1-5 years old","% Extreme heat affected female population, 1-5 years old","Drought affected female population, 1-5 years old","% Drought affected female population, 1-5 years old","Strong hurricanes affected female population, 1-5 years old","% Strong hurricanes affected female population, 1-5 years old"
11,2606.0637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,25434.465,0.0,0.0,23006.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.45497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23006.738,90.45497,0.0,0.0,0.0,0.0,23006.738,90.45497,0.0,0.0
13,1605.8379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3159.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2685.2537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1564.2355,0.0,0.0,0.0,0.0114181265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007299494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114181265,0.0007299494,0.0,0.0,0.0,0.0,0.0,0.0,0.0114181265,0.0007299494
17,16936.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1851.0911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1378.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5803.9136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
